"","text"," ellekingmusic"," taylorswift"," torikelly"," kaceymusgraves"," carrieunderwood"," samhuntmusic"," kanyewest"," sofiavergara"," ladygaga"," meghan_trainor"," adele"," justinbieber"," thegrammys"," kendricklamar"," littlebigtown"," rihanna"," ddlovato"," jkcorden"," andradaymusic"," selenagomez"," brunomars"," beyonce"," mileycyrus"," harry_styles"," samhunt"," theweeknd"," djkhaled"," realalicecooper"," alabama_shakes"," wizkhalifa"," gwenstefani"," muse"," miguel"," angelalessandra"," chrissyteigen"," kaleycuoco"," elliegoulding"," rwitherspoon"," mslaurynhill"," chrisstapleton"," itzsteviewonder"," michaeljackson"," serayahlove"," zendaya"," hamilton"," johnlegend"," pharrel"," samsmith"," arianagrande"," johnnydepp"," llcoolj"," theeagles"," davegrohl"," mattbellamy"," nicklachey"," pharrell"," faithevans"," annakendrick"," janellemonae"," kimkardashian"," ciara"," annawintour"
"55",".@theweeknd can do whatever he wants to my body!!! #Grammys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56"," We caught up with @djkhaled and MORE artists at the #Grammys! Watch the EXCLUSIVE clip here: https://t.co/YtjwngMq4K https…",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57"," .@RWitherspoon, @Andy &amp; others send love @taylorswift13's way after her big #Grammys win! https://t.co/bF2X108pqj https://…",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58"," .@MsLaurynHill was supposed to perform at the #Grammys with @theweeknd but didn't! Find out why HERE: https://t.co/K6xIYdr…",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59"," .@taylorswift13's #Grammys acceptance speech for album of the year was a big FUCK YOU to @KanyeWest! Watch HERE: https://t…",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60"," .@SofiaVergara had one of the most talked about moments of the #Grammys! Watch HERE: https://t.co/63fOmv9RSh",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61"," .@Beyonce!!!!!! #Grammys https://t.co/dBOOTW2ZKA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62"," Watch @RealAliceCooper and #JohnnyDepp bring heavy metal to the #Grammys HERE: https://t.co/1SqNt6IcdZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"63"," .@Alabama_Shakes is the real deal!! Watch their raw and raucous #Grammys performance HERE: https://t.co/F7LG0BjWqe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64"," Watch @LadyGaGa's flaw free #Grammys performance HERE: https://t.co/tTLxnueofr",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65"," .@ChrisStapleton, @TheBonnieRaitt and @GaryClarkJr rock the #Grammys stage! Watch HERE: https://t.co/7DDof7x6I9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66"," Who would have thought? @wizkhalifa was one of the best dressed at the #Grammys! https://t.co/zw4p2PWzO5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67"," #LLCoolJ is like vanilla frozen yogurt on the red carpet and as #Grammys host. https://t.co/nJCAUTRGzI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"68"," Proud of @justinbieber! Watch him deliver at the #Grammys HERE: https://t.co/jNeaMHoEIg",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69"," If you want to torture yourself, watch #Adele's sound issue-plagued #Grammys performance HERE: https://t.co/xMsHBpxBRE",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70"," THE BEST #Grammys performance of the night was @kendricklamar's! Watch it HERE: https://t.co/JoaNPCiM9Z",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71"," Very impressive! Watch @gwenstefani's music video shot LIVE during the #Grammys HERE: https://t.co/LkgOiA1P3B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72"," .@selenagomez sizzles in red on stage at the #Grammys! https://t.co/QN996agta5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73"," So touching! Watch #TheEagles's #Grammys tribute performance to #GlennFrey HERE: https://t.co/BXNgMJHrGC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"74"," .@ToriKelly and @JamesBayMusic's performance is the reason why the #Grammys exist!!!!! https://t.co/68F5omutAs",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75"," #DaveGrohl's #Grammys red carpet look was definitely Foo! But, hey, he's a Fighter - he can wear whatever he wants! https:…",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"76"," .@littlebigtown's #Grammys performance was SOOOOO GOOD!!!!!! https://t.co/V4CL2GiOmr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77"," #JohnnyDepp and #AmberHeard get their rock star on at the #Grammys https://t.co/osg9ElS4rx",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"78"," .@Muse singer #MattBellamy brought his new #KateHudson lookalike to the #Grammys! https://t.co/iLP3DmnBLk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"79"," Watch @itzStevieWonder and @PTXofficial's aca-awesome #Grammys performance HERE: https://t.co/9okRaVvSIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80"," .@Miguel always looks so fly!!!!!! #Grammys https://t.co/xZWRWb78lE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81"," So nice to see #NickLachey and the lovely #VanessaLachey at the #Grammys! Takes us back to early 2000s! https://t.co/nVhty…",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"82"," What do YOU think about #Pharrell's blonde hair? See it HERE: https://t.co/rMVgIfpST5 #Grammys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"83"," Relive @ddlovato's vocals and the amazing @JohnLegend's #Grammys tribute performance to @LionelRichie HERE: https://t.co/w…",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84"," #FaithEvans does her best #CruellaDeVille at the #Grammys! https://t.co/AzZeyvw2Q4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"85"," Easily one of the best of the night! Watch @AndraDayMusic and @elliegoulding's #Grammys performance HERE: https://t.co/VdC…",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86"," Country's had a big night at the #Grammys! Watch the kick ass performance by @carrieunderwood and @SamHuntMusic HERE https…",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87"," #AnnaKendrick kept it basic, pitches! #Grammys https://t.co/AZJLuWeAjK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"88"," .@MichaelJackson would approve of @theweeknd's #Grammys performance! Watch it HERE: https://t.co/XLSBNAYkYE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89"," Watch @taylorswift13's confident and confetti-filled #Grammys opening performance HERE: https://t.co/zTbMoR5nvH",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90"," #JanelleMonae wears more and MORE at the #Grammys! https://t.co/Ah0Cq4OAVi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"91"," .@AngelAlessandra looks like.. well, the supermodel she is at the #Grammys! Gorgeous, as per usual! https://t.co/BWT94LdUlz",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92"," .@Meghan_Trainor hits a fashion HOMERUN at the #Grammys!! https://t.co/5CKMXnl3a8",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93"," #KimKardashian or #ChrissyTeigein: Who did it better??? https://t.co/4HhpLSg9gr #Grammys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"94"," .@JustinBieber and his baby moustache rock the #Grammys! https://t.co/VhGrCeGb0V",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95"," Sorry, #ArianaGrande. No! https://t.co/dSquIUCo85 #Grammys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"96"," .@LadyGaGa in Bowie drag is a... HIT! Total winner!! #Grammys https://t.co/qKWm42Hn9u",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97"," If #Ciara isn't careful, she may have a pussy slip at the #Grammys! https://t.co/DQyBT2LNxD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"98"," It's official. @chrissyteigen at the #Grammys is the most stylish pregnant woman EVER!!! https://t.co/0zzyHVbECH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99"," .@justinbieber and @JKCorden do a carpool karaoke on the way to the #Grammys!! Watch HERE: https://t.co/7BTVAi8lOF",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100"," .@SerayahLove is channeling Good Girl Gone Bad era @Rihanna - and we love it!!! https://t.co/8v5hjvv8Yb #Grammys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101"," .@littlebigtown make a statement at the #Grammys - a chic one!!! https://t.co/ZSAac84zb3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102"," .@ddlovato rocks some fierce extensions and goes for sexy and sophisticated AND edgy in black at the #Grammys! https://t.c…",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103"," .@theweeknd and @bellahadid are the hottest couple at the #Grammys!!! https://t.co/SlW9BHfF56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104"," .@kaleycuoco just outshone most of the musicians at the #Grammys! She killed this jumpsuit look!!! https://t.co/qaA36jE6tx",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105"," .@elliegoulding is soft and pretty in pink and SEXY AF!!!!! https://t.co/GqLaComnnW #Grammys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106"," .@ADELE!!!!!!!!!!!!! https://t.co/D6FhbIhLPf #Grammys",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107"," #AnnaWintour approves of #TaylorSwift's #Grammys hair! https://t.co/OlbR48eM9g",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"108",".@KendrickLamar was THE BEST #Grammys performer, right? My special Grammys podcast out now! https://t.co/b9XIjsgTSn
https://t.co/vhJ1ko4aGv",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","I can’t stop thinking about #Adele's problem-plagued #Grammys performance! All my thoughts: https://t.co/b9XIjsgTSn
https://t.co/aoBqvetrmk",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
